Latitude,Longitude,Name,Address
-119.788561,36.846987,"Target - Blackstone and Nees Ave,","7600 N Blackstone Ave,Fresno,CA,93720 ,#0911,(559) 431-0104"
-119.788411,36.822758,"Target - Blackstone and Bullard,","5740 N Blackstone Ave,Fresno,CA,93710 ,#1417,(559) 431-8622"
-119.911287,36.834506,"Target - Fresno NW,","6655 N Riverside Dr,Fresno,CA,93722 ,#2744,(559) 490-5567"
-119.673145,36.325411,"Target - Hanford,","140 N 12th Ave,Hanford,CA,93230 ,#1906,(559) 582-9298"
-119.314366,36.225647,"Target - Tulare,","2195 E Prosperity Ave,Tulare,CA,93274 ,#2349,(559) 631-1128"
-119.047011,36.080002,"Target - Porterville,","1363 W Henderson Ave,Porterville,CA,93257 ,#2420,(559) 719-2203"
-119.314008,36.292397,"Target - Visalia,","4247 S Mooney Blvd,Visalia,CA,93277 ,#1805,(559) 749-0740"
-80.203678,26.354475,"Target - West Boca Raton,","21637 State Road 7,Boca Raton,FL,33428 ,#0638,(561) 483-3400"
-118.087933,33.858558,"Target - Cerritos West,","11525 South St,Cerritos,CA,90703 ,#1305,(562) 274-0063"
-118.166353,33.878151,"Target - Long Beach NW,","6750 Cherry Ave,Long Beach,CA,90805 ,#2424,(562) 295-2971"
-118.119595,33.775258,"Target - Long Beach Bixby,","5760 E 7th St,Long Beach,CA,90803 ,#3225,(562) 343-9142"
-117.997049,33.944551,"Target - Whittier,","15614 Whittwood Ln,Whittier,CA,90603 ,#2019,(562) 371-9003"
-118.106041,33.925652,"Target - Norwalk,","10600 Firestone Blvd,Norwalk,CA,90650 ,#1340,(562) 406-8870"
-118.074701,33.917331,"Target - Norwalk East,","12051 Imperial Hwy,Norwalk,CA,90650 ,#1424,(562) 409-5036"
-118.183046,33.816951,"Target - Signal Hill,","950 E 33rd St,Signal Hill,CA,90755 ,#2319,(562) 427-7751"
-118.125072,33.797337,"Target - Long Beach Bellflower,","2270 N Bellflower Blvd,Long Beach,CA,90815 ,#0195,(562) 493-5411"
